NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	15
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:19:43.755	2063631.96175450
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
1	0.00000	819.834	277.770	22.421	694.169	-183.362	97.003	734.334	-172.410	963.854	629.453	13.500	1479.192	687.722	219.381	101.900	760.750	186.818	525.123	730.761	-139.324	1497.561	903.508	214.394	55.161	633.993	165.905	81.351	829.807	-228.585	23.923	724.775	176.666	1502.837	642.103	-126.788	78.270	744.322	-152.589	515.876	716.548	198.978	978.551	909.733	-159.260	63.637
2	0.01000	819.835	277.770	22.420	694.163	-183.351	96.985	734.276	-172.335	963.822	629.492	13.188	1479.147	687.696	219.404	101.904	760.688	186.842	525.117	730.858	-139.693	1497.473	903.513	214.366	55.175	633.991	165.906	81.307	829.793	-228.571	23.826	724.791	176.412	1502.918	642.111	-126.754	78.372	744.324	-152.837	516.016	716.474	199.030	978.565	909.448	-159.472	62.308
3	0.02000	819.851	277.778	22.400	694.176	-183.368	96.978	734.245	-172.283	963.800	629.545	12.907	1479.075	687.695	219.385	101.901	760.625	186.907	525.139	730.988	-140.027	1497.404	903.528	214.398	55.195	634.004	165.886	81.326	829.772	-228.556	23.807	724.815	176.151	1503.115	642.098	-126.824	78.264	744.283	-152.846	516.059	716.008	199.462	978.429	909.453	-159.474	62.296
4	0.03000	819.828	277.782	22.418	694.142	-183.330	96.953	734.202	-172.220	963.762	629.618	12.651	1479.005	687.705	219.410	101.888	760.540	186.958	525.138	731.161	-140.329	1497.392	903.515	214.402	55.209	633.986	165.917	81.346	829.779	-228.602	23.830	724.983	175.784	1503.925	642.115	-126.790	78.320	744.199	-152.754	516.060	715.817	199.616	978.432	909.126	-160.093	61.032
5	0.04000	819.837	277.773	22.393	694.165	-183.360	97.004	734.043	-172.033	963.850	629.670	12.393	1479.019	687.684	219.435	101.877	760.461	187.033	525.172	731.340	-140.588	1497.428	903.503	214.402	55.202	634.003	165.903	81.337	829.757	-228.549	23.838	724.974	175.600	1504.042	642.105	-126.783	78.304	744.132	-152.487	515.882	715.690	199.597	978.401	909.130	-160.082	61.047
6	0.05000	819.832	278.416	22.468	693.711	-182.580	96.121	733.953	-171.231	963.073	630.008	12.538	1478.817	687.811	220.532	102.189	760.504	187.435	525.109	731.730	-140.523	1497.711	903.483	214.630	55.032	633.744	166.730	81.304	829.596	-228.494	23.697	725.302	175.761	1504.119	641.855	-126.156	77.801	743.941	-152.339	515.812	716.039	199.663	978.477	909.000	-159.867	60.722
7	0.06000	819.818	277.965	22.416	693.699	-182.620	96.409	734.273	-171.817	963.908	629.897	12.071	1478.906	687.613	219.730	101.996	760.416	187.353	525.206	731.783	-140.894	1497.484	903.685	214.547	55.395	634.093	165.926	81.195	829.936	-228.389	23.816	724.947	175.498	1503.963	641.929	-126.503	78.074	744.182	-151.545	515.931	715.540	199.760	978.540	908.805	-159.846	60.719
8	0.07000	819.817	277.956	22.413	694.206	-183.029	96.939	734.317	-171.732	963.899	629.948	11.907	1478.950	687.614	219.739	101.984	760.322	187.424	525.219	732.002	-141.021	1497.612	903.684	214.556	55.354	634.073	165.935	81.200	830.100	-228.583	24.162	724.940	175.453	1503.969	642.237	-126.544	78.421	744.483	-152.587	516.298	715.394	199.762	978.581	909.232	-159.965	61.129
9	0.08000	819.822	277.949	22.385	694.260	-183.058	97.053	734.348	-171.683	963.890	630.050	11.818	1478.925	687.599	219.735	101.981	760.245	187.489	525.228	732.165	-141.043	1497.666	903.709	214.547	55.394	634.082	165.936	81.194	830.186	-228.638	24.271	724.918	175.394	1504.025	642.256	-126.540	78.416	744.505	-152.450	516.244	715.142	199.778	978.570	909.249	-159.961	61.165
10	0.09000	819.822	277.948	22.392	694.284	-183.052	97.073	734.392	-171.638	963.891	630.150	11.781	1478.936	687.600	219.710	101.951	760.143	187.523	525.213	732.394	-141.101	1497.895	903.699	214.551	55.357	634.083	165.894	81.161	830.182	-228.616	24.272	724.895	175.399	1504.020	642.270	-126.569	78.428	744.542	-152.272	516.138	714.973	199.770	978.594	909.273	-159.959	61.184
11	0.10000	819.817	277.934	22.369	694.323	-183.091	97.145	734.442	-171.593	963.925	630.223	11.741	1478.913	687.577	219.704	101.931	760.075	187.596	525.244	732.576	-141.106	1498.044	903.707	214.532	55.381	634.089	165.886	81.177	830.216	-228.661	24.211	724.841	175.416	1503.941	642.306	-126.544	78.492	744.597	-152.290	516.159	714.810	199.822	978.640	909.300	-159.965	61.181
12	0.11000	819.828	277.929	22.380	694.362	-183.114	97.174	734.493	-171.549	963.940	630.331	11.756	1478.889	687.580	219.700	101.929	759.988	187.615	525.219	732.699	-141.064	1498.181	903.718	214.532	55.405	634.085	165.891	81.201	830.257	-228.651	24.341	724.743	175.418	1503.885	642.334	-126.547	78.532	744.666	-152.086	516.015	714.630	199.862	978.672	909.330	-159.966	61.191
13	0.12000	819.835	277.923	22.359	694.370	-183.129	97.212	734.566	-171.487	963.951	630.382	11.769	1478.869	687.564	219.667	101.920	759.901	187.634	525.215	732.808	-141.045	1498.360	903.749	214.550	55.407	634.114	165.870	81.194	830.222	-228.678	24.290	724.624	175.468	1503.826	642.328	-126.579	78.479	744.687	-152.254	516.249	714.450	199.871	978.720	909.339	-159.962	61.211
14	0.13000	819.828	277.914	22.395	694.404	-183.137	97.255	734.641	-171.428	964.004	630.451	11.784	1478.851	687.571	219.673	101.934	759.783	187.673	525.215	732.940	-141.003	1498.572	903.750	214.547	55.393	634.111	165.856	81.193	830.332	-228.664	24.448	724.432	175.527	1503.568	642.344	-126.562	78.527	744.753	-152.285	516.283	714.269	199.858	978.749	909.347	-159.964	61.214
15	0.14000	819.818	277.915	22.373	694.415	-183.167	97.297	734.713	-171.367	964.018	630.495	11.802	1478.815	687.552	219.673	101.931	759.685	187.739	525.222	732.998	-140.909	1498.742	903.757	214.556	55.401	634.111	165.852	81.178	830.318	-228.689	24.420	724.276	175.614	1503.437	642.349	-126.567	78.517	744.822	-152.330	516.301	714.124	199.891	978.811	909.370	-159.956	61.211
16	0.15000	819.828	277.918	22.379	694.435	-183.154	97.290	734.814	-171.373	964.045	630.529	11.817	1478.764	687.549	219.662	101.916	759.589	187.806	525.209	733.093	-140.838	1498.949	903.762	214.552	55.385	634.112	165.840	81.193	830.331	-228.678	24.408	724.093	175.698	1503.152	642.383	-126.545	78.587	744.869	-152.219	516.292	713.927	199.939	978.874	909.395	-159.964	61.209
17	0.16000	819.835	277.927	22.373	694.473	-183.155	97.339	734.886	-171.307	964.049	630.503	11.802	1478.732	687.551	219.668	101.905	759.500	187.859	525.211	733.175	-140.776	1499.120	903.774	214.544	55.407	634.124	165.864	81.196	830.342	-228.677	24.401	723.895	175.786	1502.868	642.396	-126.580	78.596	744.945	-151.833	516.032	713.740	199.970	978.976	909.409	-159.955	61.208
18	0.17000	819.842	277.925	22.348	694.487	-183.124	97.312	734.958	-171.263	964.065	630.502	11.762	1478.674	687.551	219.651	101.912	759.435	187.927	525.231	733.252	-140.688	1499.247	903.767	214.557	55.408	634.127	165.867	81.182	830.335	-228.678	24.387	723.645	175.924	1502.489	642.398	-126.555	78.618	744.988	-152.087	516.332	713.550	199.938	979.027	909.434	-159.929	61.201
19	0.18000	819.834	277.913	22.363	694.505	-183.142	97.354	735.018	-171.209	964.065	630.472	11.731	1478.623	687.542	219.669	101.908	759.379	188.015	525.283	733.328	-140.618	1499.431	903.790	214.562	55.411	634.133	165.874	81.188	830.356	-228.663	24.451	723.494	176.081	1502.270	642.422	-126.546	78.607	745.050	-152.161	516.448	713.374	199.898	979.076	909.443	-159.936	61.187
20	0.19000	819.830	277.917	22.326	694.522	-183.122	97.351	735.070	-171.182	964.041	630.452	11.737	1478.547	687.532	219.646	101.884	759.319	188.053	525.274	733.398	-140.513	1499.598	903.795	214.555	55.396	634.138	165.841	81.198	830.377	-228.654	24.392	723.354	176.275	1501.950	642.405	-126.535	78.597	745.119	-151.842	516.250	713.229	199.885	979.069	909.435	-159.946	61.168
21	0.20000	819.813	277.903	22.352	694.541	-183.142	97.370	735.121	-171.141	964.049	630.437	11.767	1478.538	687.539	219.640	101.871	759.275	188.070	525.246	733.454	-140.443	1499.794	903.779	214.551	55.394	634.125	165.853	81.185	830.360	-228.650	24.448	723.191	176.452	1501.681	642.410	-126.540	78.633	745.173	-151.869	516.300	713.114	199.905	979.087	909.463	-159.967	61.180
22	0.21000	819.827	277.915	22.328	694.569	-183.156	97.359	735.143	-171.116	964.054	630.428	11.840	1478.496	687.526	219.641	101.863	759.240	188.132	525.246	733.506	-140.297	1499.956	903.775	214.535	55.367	634.116	165.868	81.184	830.345	-228.682	24.383	723.125	176.663	1501.376	642.430	-126.523	78.638	745.211	-151.677	516.211	713.014	199.963	979.037	909.478	-159.954	61.167
23	0.22000	819.815	277.921	22.360	694.552	-183.133	97.347	735.147	-171.079	964.035	630.431	11.902	1478.481	687.510	219.655	101.852	759.234	188.136	525.210	733.525	-140.166	1500.084	903.784	214.535	55.380	634.138	165.841	81.161	830.398	-228.667	24.397	723.063	176.845	1501.162	642.460	-126.550	78.641	745.271	-152.059	516.490	712.932	199.985	979.009	909.480	-159.969	61.171
24	0.23000	819.831	277.915	22.329	694.572	-183.119	97.378	735.149	-171.011	963.989	630.427	11.982	1478.463	687.523	219.643	101.843	759.217	188.148	525.196	733.551	-140.034	1500.291	903.785	214.542	55.378	634.126	165.843	81.162	830.376	-228.696	24.409	722.984	176.943	1501.014	642.447	-126.560	78.652	745.289	-151.912	516.410	712.884	200.030	978.966	909.493	-159.961	61.148
25	0.24000	819.835	277.928	22.351	694.567	-183.135	97.348	735.152	-170.938	963.965	630.424	12.037	1478.464	687.525	219.637	101.825	759.207	188.243	525.237	733.593	-139.938	1500.513	903.782	214.540	55.403	634.146	165.855	81.153	830.417	-228.649	24.552	722.953	177.068	1500.795	642.450	-126.528	78.626	745.332	-151.942	516.405	712.799	200.084	978.983	909.498	-159.939	61.155
26	0.25000	819.839	277.927	22.326	694.590	-183.167	97.402	735.087	-170.788	963.849	630.450	12.123	1478.458	687.521	219.633	101.796	759.214	188.248	525.212	733.581	-139.798	1500.646	903.789	214.554	55.378	634.147	165.853	81.154	830.405	-228.671	24.471	722.895	177.158	1500.709	642.448	-126.518	78.663	745.347	-151.904	516.432	712.719	200.085	978.985	909.505	-159.934	61.164
27	0.26000	819.840	277.902	22.322	694.594	-183.158	97.442	735.101	-170.854	963.949	630.465	12.222	1478.478	687.525	219.631	101.818	759.233	188.224	525.208	733.589	-139.672	1500.802	903.809	214.563	55.359	634.164	165.859	81.164	830.393	-228.671	24.510	722.846	177.192	1500.668	642.455	-126.525	78.666	745.349	-151.673	516.262	712.657	200.096	978.953	909.509	-159.939	61.149
28	0.27000	819.843	277.908	22.325	694.585	-183.147	97.421	735.017	-170.853	963.974	630.474	12.313	1478.503	687.527	219.637	101.835	759.256	188.281	525.246	733.603	-139.593	1500.971	903.801	214.563	55.358	634.142	165.866	81.161	830.438	-228.700	24.509	722.857	177.288	1500.575	642.452	-126.533	78.605	745.346	-151.666	516.320	712.598	200.083	978.956	909.531	-159.935	61.162
29	0.28000	819.858	277.906	22.324	694.596	-183.144	97.464	734.905	-170.848	963.985	630.502	12.407	1478.530	687.540	219.616	101.789	759.283	188.264	525.278	733.614	-139.506	1501.133	903.810	214.559	55.377	634.147	165.843	81.155	830.434	-228.694	24.456	722.819	177.354	1500.535	642.457	-126.513	78.648	745.347	-151.564	516.216	712.554	200.099	978.965	909.527	-159.940	61.167
30	0.29000	819.847	277.892	22.295	694.613	-183.134	97.451	734.781	-170.876	963.994	630.532	12.478	1478.579	687.551	219.625	101.804	759.336	188.284	525.283	733.613	-139.404	1501.208	903.825	214.543	55.365	634.162	165.868	81.165	830.435	-228.669	24.545	722.837	177.431	1500.483	642.476	-126.518	78.654	745.329	-151.622	516.311	712.503	200.111	978.987	909.529	-159.963	61.176
31	0.30000	819.844	277.897	22.314	694.591	-183.128	97.459	734.656	-170.854	964.040	630.585	12.598	1478.623	687.551	219.627	101.809	759.348	188.225	525.255	733.657	-139.332	1501.369	903.822	214.522	55.384	634.160	165.858	81.164	830.466	-228.693	24.627	722.874	177.523	1500.374	642.452	-126.535	78.633	745.293	-151.870	516.484	712.461	200.147	979.014	909.539	-159.964	61.190
32	0.31000	819.855	277.897	22.314	694.606	-183.148	97.474	734.529	-170.848	964.100	630.619	12.668	1478.647	687.543	219.619	101.802	759.348	188.211	525.218	733.672	-139.249	1501.449	903.845	214.508	55.376	634.154	165.864	81.168	830.442	-228.692	24.527	722.879	177.572	1500.433	642.471	-126.507	78.665	745.259	-151.534	516.212	712.433	200.132	979.022	909.529	-159.951	61.201
33	0.32000	819.844	277.884	22.318	694.591	-183.143	97.454	734.424	-170.832	964.127	630.659	12.751	1478.693	687.558	219.614	101.804	759.344	188.214	525.202	733.745	-139.166	1501.575	903.831	214.504	55.369	634.174	165.861	81.151	830.426	-228.769	24.440	722.900	177.647	1500.411	642.470	-126.517	78.628	745.214	-151.635	516.291	712.435	200.135	979.024	909.528	-159.975	61.175
34	0.33000	819.848	277.876	22.321	694.596	-183.160	97.499	734.295	-170.819	964.157	630.701	12.833	1478.732	687.547	219.609	101.793	759.322	188.229	525.217	733.805	-139.090	1501.674	903.830	214.504	55.353	634.154	165.843	81.165	830.455	-228.720	24.513	722.913	177.706	1500.377	642.466	-126.477	78.667	745.180	-151.582	516.253	712.432	200.112	979.030	909.525	-159.963	61.209
35	0.34000	819.845	277.882	22.304	694.594	-183.138	97.486	734.178	-170.766	964.156	630.729	12.914	1478.771	687.549	219.592	101.794	759.305	188.204	525.183	733.881	-139.002	1501.764	903.815	214.486	55.337	634.172	165.845	81.158	830.444	-228.795	24.436	722.952	177.767	1500.406	642.476	-126.526	78.676	745.124	-151.654	516.281	712.432	200.105	979.001	909.520	-159.963	61.210
36	0.35000	819.852	277.890	22.302	694.587	-183.160	97.472	734.045	-170.788	964.204	630.794	13.014	1478.863	687.549	219.588	101.771	759.251	188.211	525.213	733.916	-138.930	1501.850	903.815	214.524	55.381	634.165	165.867	81.157	830.456	-228.730	24.501	723.034	177.878	1500.347	642.465	-126.494	78.651	745.037	-151.760	516.373	712.412	200.100	978.996	909.515	-159.969	61.223
37	0.36000	819.848	277.876	22.306	694.590	-183.172	97.515	733.911	-170.801	964.170	630.836	13.152	1478.910	687.543	219.612	101.787	759.220	188.211	525.226	733.995	-138.852	1501.937	903.820	214.530	55.359	634.157	165.877	81.147	830.450	-228.724	24.550	723.058	177.963	1500.400	642.453	-126.505	78.613	744.951	-151.766	516.375	712.396	200.073	978.965	909.511	-159.963	61.246
38	0.37000	819.852	277.874	22.321	694.576	-183.162	97.491	733.784	-170.837	964.187	630.874	13.226	1478.950	687.545	219.597	101.757	759.184	188.193	525.260	734.045	-138.755	1501.988	903.838	214.517	55.380	634.145	165.880	81.140	830.473	-228.715	24.498	723.093	178.042	1500.383	642.458	-126.491	78.649	744.864	-151.957	516.505	712.381	200.087	978.962	909.522	-159.977	61.225
