NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	16
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:24:53.089	2063941.29639670
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
1	0.00000	522.431	-17.270	1455.349	829.816	223.717	22.667	747.191	149.826	527.101	909.379	155.692	54.969	905.632	-210.386	60.835	1263.791	-2.199	1468.696	638.499	120.641	79.801	679.983	-193.710	965.023	625.109	133.521	1505.200	624.783	-169.187	1489.471	641.528	-154.799	77.803	820.461	-272.360	23.281	688.382	-216.360	96.403	692.042	173.171	99.498	723.188	-184.663	520.873	672.060	172.195	982.039
2	0.01000	522.386	-17.281	1455.344	829.817	223.726	22.659	747.183	149.809	527.083	909.375	155.673	54.978	905.622	-210.394	60.849	1263.797	-2.185	1468.573	638.507	120.659	79.791	679.976	-193.720	965.048	625.056	133.510	1505.220	624.765	-169.194	1489.467	641.520	-154.767	77.837	820.450	-272.335	23.297	688.387	-216.306	96.391	692.021	173.197	99.570	723.186	-184.783	520.916	671.506	172.653	981.485
3	0.02000	522.353	-17.290	1455.334	829.813	223.721	22.652	747.188	149.799	527.079	909.359	155.680	54.995	905.632	-210.383	60.844	1263.771	-2.159	1468.438	638.524	120.640	79.788	679.946	-193.736	965.037	625.043	133.492	1505.196	624.702	-169.207	1489.410	641.522	-154.760	77.801	820.483	-272.403	23.327	688.399	-216.342	96.435	692.028	173.181	99.530	723.198	-184.781	520.928	671.966	172.179	982.017
4	0.03000	522.309	-17.306	1455.346	829.813	223.745	22.680	747.155	149.787	527.081	909.365	155.675	54.968	905.616	-210.393	60.853	1263.757	-2.129	1468.310	638.520	120.639	79.810	679.921	-193.740	965.038	625.137	133.334	1505.961	624.705	-169.236	1489.442	641.523	-154.774	77.800	820.484	-272.363	23.294	688.399	-216.379	96.470	692.039	173.186	99.538	723.157	-184.674	520.855	671.908	172.171	981.992
5	0.04000	522.283	-17.330	1455.346	829.816	223.719	22.661	747.167	149.783	527.088	909.367	155.679	55.000	905.621	-210.393	60.849	1263.763	-2.114	1468.244	638.382	120.713	79.812	679.870	-193.725	965.006	625.110	133.309	1505.956	624.663	-169.248	1489.409	641.529	-154.803	77.824	820.460	-272.354	23.283	688.386	-216.377	96.449	692.008	173.167	99.532	723.170	-184.811	520.950	671.874	172.171	981.993
6	0.05000	522.560	-17.203	1455.194	829.904	223.924	22.490	747.251	150.142	527.029	909.293	155.929	54.715	905.489	-210.150	60.498	1263.739	-2.091	1468.120	638.534	120.859	79.589	679.830	-193.767	964.930	625.299	133.386	1505.793	624.628	-169.240	1489.455	641.463	-154.538	77.510	820.262	-272.263	23.078	688.304	-216.382	96.349	692.160	173.343	99.330	722.832	-183.874	520.326	672.002	172.420	981.787
7	0.06000	522.360	-17.325	1455.162	829.806	223.783	22.623	747.217	149.965	527.083	909.273	155.807	54.842	905.282	-210.101	60.535	1263.720	-2.058	1467.997	638.621	120.588	79.720	679.905	-193.669	965.332	625.014	133.349	1505.744	624.625	-169.281	1489.295	641.390	-154.512	77.598	820.649	-272.155	23.327	688.001	-215.782	96.114	692.005	173.224	99.522	723.211	-183.343	520.564	671.584	172.225	981.907
8	0.07000	522.337	-17.336	1455.180	829.798	223.786	22.610	747.187	150.031	527.103	909.542	155.791	55.146	905.753	-210.258	61.011	1263.684	-2.045	1467.887	638.622	120.631	79.716	679.853	-193.659	965.337	624.994	133.351	1505.664	624.613	-169.291	1489.289	641.744	-154.568	77.933	820.856	-272.361	23.758	688.515	-216.184	96.639	691.988	173.249	99.523	723.532	-184.848	521.263	671.517	172.237	981.897
9	0.08000	522.349	-17.362	1455.156	829.805	223.780	22.601	747.143	150.028	527.105	909.577	155.801	55.157	905.785	-210.259	61.031	1263.656	-2.026	1467.821	638.630	120.621	79.682	679.822	-193.674	965.350	624.947	133.355	1505.675	624.604	-169.294	1489.262	641.752	-154.576	77.934	820.909	-272.400	23.778	688.562	-216.252	96.704	691.977	173.255	99.508	723.501	-184.413	520.871	671.464	172.252	981.879
10	0.09000	522.315	-17.354	1455.130	829.816	223.788	22.613	747.109	150.036	527.128	909.608	155.835	55.212	905.808	-210.255	61.061	1263.585	-2.023	1467.693	638.629	120.608	79.692	679.788	-193.651	965.372	624.916	133.338	1505.678	624.556	-169.311	1489.248	641.798	-154.566	77.969	820.939	-272.408	23.780	688.591	-216.223	96.718	691.994	173.229	99.475	723.506	-184.885	521.242	671.371	172.222	981.875
