NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:25:12
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_XY

Frame	Time	left_q1_XY	
1	0.00000	79.301
2	0.01000	79.305
3	0.02000	79.318
4	0.03000	79.331
5	0.04000	79.342
6	0.05000	79.305
7	0.06000	79.338
8	0.07000	79.353
9	0.08000	79.364
10	0.09000	79.380
11	0.10000	79.391
12	0.11000	79.402
13	0.12000	79.414
14	0.13000	79.430
15	0.14000	79.443
16	0.15000	79.459
17	0.16000	79.472
18	0.17000	79.485
19	0.18000	79.496
20	0.19000	79.505
21	0.20000	79.512
22	0.21000	79.518
23	0.22000	79.516
24	0.23000	79.521
25	0.24000	79.529
26	0.25000	79.528
27	0.26000	79.524
28	0.27000	79.525
29	0.28000	79.525
30	0.29000	79.521
31	0.30000	79.515
32	0.31000	79.513
33	0.32000	79.516
34	0.33000	79.519
35	0.34000	79.520
36	0.35000	79.528
37	0.36000	79.530
38	0.37000	79.536
39	0.38000	79.538
40	0.39000	79.541
41	0.40000	79.547
42	0.41000	79.556
43	0.42000	79.567
44	0.43000	79.571
45	0.44000	79.579
46	0.45000	79.585
47	0.46000	79.591
48	0.47000	79.601
49	0.48000	79.608
50	0.49000	79.616
51	0.50000	79.621
52	0.51000	79.627
53	0.52000	79.638
54	0.53000	79.646
55	0.54000	79.656
56	0.55000	79.661
57	0.56000	79.665
58	0.57000	79.669
59	0.58000	79.674
60	0.59000	79.677
61	0.60000	79.685
62	0.61000	79.685
63	0.62000	79.690
64	0.63000	79.692
65	0.64000	79.697
66	0.65000	79.703
67	0.66000	79.695
68	0.67000	79.696
69	0.68000	79.700
70	0.69000	79.697
71	0.70000	79.698
72	0.71000	79.696
73	0.72000	79.698
74	0.73000	79.694
75	0.74000	79.692
76	0.75000	79.698
77	0.76000	79.694
78	0.77000	79.697
79	0.78000	79.697
80	0.79000	79.700
81	0.80000	79.702
82	0.81000	79.702
83	0.82000	79.708
84	0.83000	79.705
85	0.84000	79.707
86	0.85000	79.701
87	0.86000	79.703
88	0.87000	79.702
89	0.88000	79.697
90	0.89000	79.694
91	0.90000	79.697
92	0.91000	79.696
93	0.92000	79.696
94	0.93000	79.695
95	0.94000	79.695
96	0.95000	79.695
97	0.96000	79.687
98	0.97000	79.687
99	0.98000	79.680
100	0.99000	79.674
101	1.00000	79.668
102	1.01000	79.662
103	1.02000	79.652
104	1.03000	79.646
105	1.04000	79.639
106	1.05000	79.635
107	1.06000	79.631
108	1.07000	79.615
109	1.08000	79.601
110	1.09000	79.582
111	1.10000	79.558
112	1.11000	79.514
113	1.12000	79.458
114	1.13000	79.381
115	1.14000	79.295
116	1.15000	79.196
117	1.16000	79.088
118	1.17000	78.978
119	1.18000	78.860
120	1.19000	78.745
121	1.20000	78.638
122	1.21000	78.539
123	1.22000	78.456
124	1.23000	78.377
125	1.24000	78.314
126	1.25000	78.258
127	1.26000	78.201
128	1.27000	78.140
129	1.28000	78.055
130	1.29000	77.955
131	1.30000	77.843
132	1.31000	77.708
133	1.32000	77.541
134	1.33000	77.357
135	1.34000	77.154
136	1.35000	76.938
137	1.36000	76.720
138	1.37000	76.525
139	1.38000	76.344
140	1.39000	76.184
141	1.40000	76.033
142	1.41000	75.902
143	1.42000	75.781
144	1.43000	75.661
145	1.44000	75.521
146	1.45000	75.390
147	1.46000	75.284
148	1.47000	75.135
149	1.48000	74.961
150	1.49000	74.776
151	1.50000	74.580
