NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:28:10
DATA_INCLUDED	Angle
DATA_TYPES	right_q1_XY

Frame	Time	right_q1_XY	
1	0.00000	82.004
2	0.01000	82.024
3	0.02000	82.030
4	0.03000	82.033
5	0.04000	82.018
6	0.05000	82.047
7	0.06000	81.957
8	0.07000	82.022
9	0.08000	82.011
10	0.09000	81.995
11	0.10000	81.991
12	0.11000	81.968
13	0.12000	81.981
14	0.13000	81.979
15	0.14000	81.973
16	0.15000	81.963
17	0.16000	81.925
18	0.17000	81.948
19	0.18000	81.948
20	0.19000	81.918
21	0.20000	81.915
22	0.21000	81.898
23	0.22000	81.923
24	0.23000	81.912
25	0.24000	81.908
26	0.25000	81.903
27	0.26000	81.884
28	0.27000	81.885
29	0.28000	81.876
30	0.29000	81.887
31	0.30000	81.910
32	0.31000	81.885
33	0.32000	81.898
34	0.33000	81.895
35	0.34000	81.909
36	0.35000	81.926
37	0.36000	81.935
38	0.37000	81.960
39	0.38000	81.971
40	0.39000	81.991
41	0.40000	81.998
42	0.41000	82.021
43	0.42000	82.008
44	0.43000	82.029
45	0.44000	82.042
46	0.45000	82.032
47	0.46000	82.045
48	0.47000	82.044
49	0.48000	82.014
50	0.49000	82.061
51	0.50000	82.077
52	0.51000	82.067
53	0.52000	82.069
54	0.53000	82.088
55	0.54000	82.049
56	0.55000	82.052
57	0.56000	82.081
58	0.57000	82.056
59	0.58000	82.042
60	0.59000	82.038
61	0.60000	82.041
62	0.61000	82.052
63	0.62000	82.046
64	0.63000	82.059
65	0.64000	82.044
66	0.65000	82.046
67	0.66000	82.047
68	0.67000	82.059
69	0.68000	82.050
70	0.69000	82.069
71	0.70000	82.062
72	0.71000	82.060
73	0.72000	82.032
74	0.73000	82.070
75	0.74000	82.051
76	0.75000	82.055
77	0.76000	82.066
78	0.77000	82.075
79	0.78000	82.082
80	0.79000	82.052
81	0.80000	82.073
82	0.81000	82.052
83	0.82000	82.084
84	0.83000	82.063
85	0.84000	82.046
86	0.85000	82.063
87	0.86000	82.049
88	0.87000	82.047
89	0.88000	82.062
90	0.89000	82.040
91	0.90000	82.044
92	0.91000	82.063
93	0.92000	82.034
94	0.93000	82.047
95	0.94000	82.031
96	0.95000	82.021
97	0.96000	82.032
98	0.97000	82.030
99	0.98000	82.045
100	0.99000	82.052
101	1.00000	82.045
102	1.01000	82.048
103	1.02000	82.019
104	1.03000	82.047
105	1.04000	82.023
106	1.05000	81.991
107	1.06000	81.968
108	1.07000	81.991
109	1.08000	81.924
110	1.09000	81.906
111	1.10000	81.846
112	1.11000	81.799
113	1.12000	81.735
114	1.13000	81.663
115	1.14000	81.529
116	1.15000	81.453
117	1.16000	81.320
118	1.17000	81.234
119	1.18000	81.109
120	1.19000	80.981
121	1.20000	80.876
122	1.21000	80.761
123	1.22000	80.637
124	1.23000	80.597
125	1.24000	80.464
126	1.25000	80.323
127	1.26000	80.167
128	1.27000	80.010
129	1.28000	79.816
130	1.29000	79.612
131	1.30000	79.420
132	1.31000	79.234
133	1.32000	79.057
134	1.33000	78.876
135	1.34000	78.686
136	1.35000	78.467
137	1.36000	78.206
138	1.37000	77.901
139	1.38000	77.560
140	1.39000	77.213
141	1.40000	76.865
142	1.41000	76.547
143	1.42000	76.271
144	1.43000	76.026
145	1.44000	75.826
146	1.45000	75.669
147	1.46000	75.531
148	1.47000	75.387
149	1.48000	75.246
150	1.49000	75.087
151	1.50000	74.899
152	1.51000	74.700
153	1.52000	74.488
154	1.53000	74.277
155	1.54000	74.040
156	1.55000	73.784
157	1.56000	73.510
158	1.57000	73.242
159	1.58000	72.978
160	1.59000	72.702
161	1.60000	72.383
162	1.61000	72.076
163	1.62000	71.778
164	1.63000	71.488
165	1.64000	71.220
166	1.65000	70.965
167	1.66000	70.723
168	1.67000	70.494
169	1.68000	70.295
170	1.69000	70.143
171	1.70000	69.984
172	1.71000	69.848
173	1.72000	69.715
174	1.73000	69.605
175	1.74000	69.516
176	1.75000	69.442
177	1.76000	69.365
178	1.77000	69.308
179	1.78000	69.267
180	1.79000	69.242
181	1.80000	69.206
182	1.81000	69.186
183	1.82000	69.158
184	1.83000	69.147
185	1.84000	69.143
186	1.85000	69.157
187	1.86000	69.225
188	1.87000	69.265
189	1.88000	69.324
190	1.89000	69.360
191	1.90000	69.428
192	1.91000	69.489
193	1.92000	69.578
194	1.93000	69.674
195	1.94000	69.776
196	1.95000	69.892
197	1.96000	70.028
198	1.97000	70.148
199	1.98000	70.291
200	1.99000	70.463
201	2.00000	70.638
202	2.01000	70.823
203	2.02000	71.018
204	2.03000	71.217
205	2.04000	71.426
206	2.05000	71.646
207	2.06000	71.858
208	2.07000	72.071
209	2.08000	72.292
210	2.09000	72.530
211	2.10000	72.751
212	2.11000	72.971
213	2.12000	73.185
214	2.13000	73.414
215	2.14000	73.626
216	2.15000	73.838
217	2.16000	74.053
218	2.17000	74.267
219	2.18000	74.475
220	2.19000	74.691
221	2.20000	74.903
222	2.21000	75.050
223	2.22000	75.244
224	2.23000	75.484
225	2.24000	75.661
226	2.25000	75.829
227	2.26000	75.964
228	2.27000	76.151
229	2.28000	76.282
230	2.29000	76.446
231	2.30000	76.555
232	2.31000	76.696
233	2.32000	76.799
234	2.33000	76.948
235	2.34000	77.036
236	2.35000	77.073
237	2.36000	77.150
238	2.37000	77.216
239	2.38000	77.334
240	2.39000	77.337
241	2.40000	77.409
242	2.41000	77.476
