NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:26:46
DATA_INCLUDED	Angle
DATA_TYPES	right_q3

Frame	Time	right_q3	
1	0.00000	173.855
2	0.01000	173.937
3	0.02000	173.983
4	0.03000	174.015
5	0.04000	174.045
6	0.05000	174.201
7	0.06000	174.009
8	0.07000	174.163
9	0.08000	174.157
10	0.09000	174.150
11	0.10000	174.161
12	0.11000	174.141
13	0.12000	174.174
14	0.13000	174.188
15	0.14000	174.199
16	0.15000	174.179
17	0.16000	174.141
18	0.17000	174.174
19	0.18000	174.188
20	0.19000	174.145
21	0.20000	174.151
22	0.21000	174.118
23	0.22000	174.158
24	0.23000	174.142
25	0.24000	174.152
26	0.25000	174.165
27	0.26000	174.110
28	0.27000	174.098
29	0.28000	174.073
30	0.29000	174.058
31	0.30000	174.080
32	0.31000	174.027
33	0.32000	174.029
34	0.33000	174.012
35	0.34000	174.018
36	0.35000	174.013
37	0.36000	173.996
38	0.37000	173.996
39	0.38000	173.988
40	0.39000	173.993
41	0.40000	173.969
42	0.41000	173.980
43	0.42000	173.940
44	0.43000	173.947
45	0.44000	173.947
46	0.45000	173.920
47	0.46000	173.926
48	0.47000	173.928
49	0.48000	173.882
50	0.49000	173.940
51	0.50000	173.953
52	0.51000	173.939
53	0.52000	173.935
54	0.53000	173.970
55	0.54000	173.912
56	0.55000	173.918
57	0.56000	173.966
58	0.57000	173.934
59	0.58000	173.921
60	0.59000	173.919
61	0.60000	173.920
62	0.61000	173.929
63	0.62000	173.928
64	0.63000	173.947
65	0.64000	173.917
66	0.65000	173.922
67	0.66000	173.929
68	0.67000	173.945
69	0.68000	173.942
70	0.69000	173.950
71	0.70000	173.942
72	0.71000	173.950
73	0.72000	173.907
74	0.73000	173.951
75	0.74000	173.922
76	0.75000	173.924
77	0.76000	173.931
78	0.77000	173.940
79	0.78000	173.952
80	0.79000	173.902
81	0.80000	173.936
82	0.81000	173.916
83	0.82000	173.949
84	0.83000	173.925
85	0.84000	173.896
86	0.85000	173.918
87	0.86000	173.907
88	0.87000	173.911
89	0.88000	173.928
90	0.89000	173.895
91	0.90000	173.914
92	0.91000	173.929
93	0.92000	173.896
94	0.93000	173.906
95	0.94000	173.886
96	0.95000	173.878
97	0.96000	173.890
98	0.97000	173.897
99	0.98000	173.917
100	0.99000	173.925
101	1.00000	173.920
102	1.01000	173.915
103	1.02000	173.878
104	1.03000	173.918
105	1.04000	173.924
106	1.05000	173.870
107	1.06000	173.838
108	1.07000	173.870
109	1.08000	173.814
110	1.09000	173.787
111	1.10000	173.735
112	1.11000	173.667
113	1.12000	173.567
114	1.13000	173.437
115	1.14000	173.211
