NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
1	0.00000	7.338	-3.099	82.027
2	0.01000	7.341	-3.106	82.022
3	0.02000	7.341	-3.105	82.023
4	0.03000	7.335	-3.107	82.028
5	0.04000	7.340	-3.105	82.023
6	0.05000	7.329	-3.080	82.044
7	0.06000	7.347	-3.088	82.024
8	0.07000	7.345	-3.083	82.028
9	0.08000	7.341	-3.084	82.031
10	0.09000	7.333	-3.079	82.040
11	0.10000	7.330	-3.077	82.044
12	0.11000	7.322	-3.073	82.052
13	0.12000	7.315	-3.073	82.059
14	0.13000	7.308	-3.076	82.065
15	0.14000	7.305	-3.073	82.068
16	0.15000	7.297	-3.067	82.078
17	0.16000	7.300	-3.071	82.074
18	0.17000	7.293	-3.066	82.082
19	0.18000	7.292	-3.067	82.082
20	0.19000	7.293	-3.070	82.081
21	0.20000	7.286	-3.059	82.092
22	0.21000	7.282	-3.062	82.094
23	0.22000	7.275	-3.062	82.101
24	0.23000	7.272	-3.061	82.103
25	0.24000	7.270	-3.058	82.107
26	0.25000	7.266	-3.053	82.112
27	0.26000	7.264	-3.062	82.110
28	0.27000	7.265	-3.059	82.111
29	0.28000	7.263	-3.057	82.113
30	0.29000	7.263	-3.054	82.115
31	0.30000	7.262	-3.049	82.118
32	0.31000	7.264	-3.059	82.112
33	0.32000	7.271	-3.062	82.104
34	0.33000	7.273	-3.061	82.103
35	0.34000	7.273	-3.057	82.104
36	0.35000	7.274	-3.052	82.105
37	0.36000	7.269	-3.058	82.108
38	0.37000	7.269	-3.059	82.107
39	0.38000	7.263	-3.059	82.113
40	0.39000	7.259	-3.059	82.117
41	0.40000	7.259	-3.058	82.117
42	0.41000	7.255	-3.060	82.120
43	0.42000	7.259	-3.057	82.118
44	0.43000	7.256	-3.055	82.121
45	0.44000	7.253	-3.056	82.123
46	0.45000	7.244	-3.060	82.129
47	0.46000	7.234	-3.059	82.139
48	0.47000	7.230	-3.063	82.142
49	0.48000	7.218	-3.065	82.152
50	0.49000	7.204	-3.058	82.167
51	0.50000	7.195	-3.059	82.176
52	0.51000	7.185	-3.059	82.185
53	0.52000	7.176	-3.059	82.192
54	0.53000	7.166	-3.060	82.202
55	0.54000	7.154	-3.058	82.214
56	0.55000	7.139	-3.050	82.230
57	0.56000	7.122	-3.060	82.243
58	0.57000	7.106	-3.049	82.261
59	0.58000	7.084	-3.057	82.278
60	0.59000	7.069	-3.055	82.293
61	0.60000	7.052	-3.048	82.312
62	0.61000	7.038	-3.046	82.325
63	0.62000	7.024	-3.042	82.339
64	0.63000	7.008	-3.043	82.354
65	0.64000	6.988	-3.037	82.375
66	0.65000	6.962	-3.035	82.399
67	0.66000	6.939	-3.037	82.420
68	0.67000	6.919	-3.034	82.439
69	0.68000	6.893	-3.034	82.463
70	0.69000	6.871	-3.030	82.485
71	0.70000	6.845	-3.024	82.511
72	0.71000	6.821	-3.023	82.533
73	0.72000	6.799	-3.026	82.552
74	0.73000	6.775	-3.024	82.575
75	0.74000	6.753	-3.031	82.593
76	0.75000	6.722	-3.030	82.621
77	0.76000	6.687	-3.024	82.656
78	0.77000	6.656	-3.022	82.685
79	0.78000	6.613	-3.025	82.723
80	0.79000	6.570	-3.022	82.763
81	0.80000	6.534	-3.016	82.798
82	0.81000	6.491	-3.021	82.835
83	0.82000	6.450	-3.016	82.874
