NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:32:48
DATA_INCLUDED	Angle
DATA_TYPES	left_q2

Frame	Time	left_q2	
1	0.00000	139.565
2	0.01000	139.601
3	0.02000	139.563
4	0.03000	139.560
5	0.04000	139.559
6	0.05000	139.520
7	0.06000	139.562
8	0.07000	139.511
9	0.08000	139.507
10	0.09000	139.505
11	0.10000	139.500
12	0.11000	139.492
13	0.12000	139.492
14	0.13000	139.491
15	0.14000	139.496
16	0.15000	139.480
17	0.16000	139.480
18	0.17000	139.477
19	0.18000	139.482
20	0.19000	139.471
21	0.20000	139.466
22	0.21000	139.473
23	0.22000	139.469
24	0.23000	139.468
25	0.24000	139.462
26	0.25000	139.462
27	0.26000	139.466
28	0.27000	139.467
29	0.28000	139.472
30	0.29000	139.466
31	0.30000	139.461
32	0.31000	139.465
33	0.32000	139.456
34	0.33000	139.460
35	0.34000	139.451
36	0.35000	139.449
37	0.36000	139.453
38	0.37000	139.453
39	0.38000	139.454
40	0.39000	139.454
41	0.40000	139.446
42	0.41000	139.449
43	0.42000	139.441
44	0.43000	139.434
45	0.44000	139.436
46	0.45000	139.436
47	0.46000	139.439
48	0.47000	139.440
49	0.48000	139.450
50	0.49000	139.441
51	0.50000	139.451
52	0.51000	139.447
53	0.52000	139.437
54	0.53000	139.437
55	0.54000	139.444
56	0.55000	139.436
57	0.56000	139.449
58	0.57000	139.442
59	0.58000	139.466
60	0.59000	139.463
61	0.60000	139.458
62	0.61000	139.455
63	0.62000	139.453
64	0.63000	139.454
65	0.64000	139.455
66	0.65000	139.460
67	0.66000	139.467
68	0.67000	139.475
69	0.68000	139.474
70	0.69000	139.473
71	0.70000	139.467
72	0.71000	139.461
73	0.72000	139.471
74	0.73000	139.461
75	0.74000	139.472
76	0.75000	139.462
77	0.76000	139.467
78	0.77000	139.463
79	0.78000	139.473
80	0.79000	139.475
81	0.80000	139.475
82	0.81000	139.489
83	0.82000	139.487
84	0.83000	139.483
85	0.84000	139.455
86	0.85000	139.427
87	0.86000	139.399
88	0.87000	139.362
89	0.88000	139.311
90	0.89000	139.224
91	0.90000	139.132
92	0.91000	139.028
93	0.92000	138.880
94	0.93000	138.712
95	0.94000	138.517
96	0.95000	138.275
97	0.96000	138.005
98	0.97000	137.702
99	0.98000	137.347
100	0.99000	136.931
101	1.00000	136.470
102	1.01000	135.935
103	1.02000	135.270
104	1.03000	134.627
105	1.04000	133.974
106	1.05000	133.323
107	1.06000	132.650
108	1.07000	131.993
109	1.08000	131.345
110	1.09000	130.729
111	1.10000	130.078
112	1.11000	129.345
113	1.12000	128.510
114	1.13000	127.585
115	1.14000	126.640
116	1.15000	125.699
117	1.16000	124.789
118	1.17000	123.939
119	1.18000	123.130
120	1.19000	122.372
121	1.20000	121.615
122	1.21000	120.825
123	1.22000	120.035
124	1.23000	119.225
125	1.24000	118.410
126	1.25000	117.554
127	1.26000	116.673
128	1.27000	115.742
129	1.28000	114.758
130	1.29000	113.774
131	1.30000	112.834
132	1.31000	111.899
133	1.32000	110.972
134	1.33000	109.993
135	1.34000	108.980
136	1.35000	107.918
137	1.36000	106.848
138	1.37000	105.843
139	1.38000	104.861
140	1.39000	103.866
141	1.40000	102.885
142	1.41000	101.968
143	1.42000	101.043
144	1.43000	100.116
145	1.44000	99.200
146	1.45000	98.280
147	1.46000	97.347
148	1.47000	96.354
149	1.48000	95.373
150	1.49000	94.441
151	1.50000	93.562
152	1.51000	92.751
153	1.52000	91.978
154	1.53000	91.247
155	1.54000	90.573
156	1.55000	89.953
157	1.56000	89.443
158	1.57000	88.874
159	1.58000	88.398
160	1.59000	87.757
161	1.60000	87.440
162	1.61000	86.996
163	1.62000	86.564
164	1.63000	86.165
165	1.64000	85.782
166	1.65000	85.419
167	1.66000	85.086
168	1.67000	84.788
169	1.68000	84.498
170	1.69000	84.238
171	1.70000	83.983
172	1.71000	83.635
173	1.72000	83.535
174	1.73000	83.180
175	1.74000	82.975
176	1.75000	82.850
177	1.76000	82.864
178	1.77000	82.813
179	1.78000	82.771
180	1.79000	82.751
181	1.80000	82.742
182	1.81000	82.720
183	1.82000	82.703
184	1.83000	82.667
185	1.84000	82.610
186	1.85000	82.536
187	1.86000	82.445
188	1.87000	82.357
189	1.88000	82.256
190	1.89000	82.168
191	1.90000	82.068
192	1.91000	81.958
193	1.92000	81.844
194	1.93000	81.734
195	1.94000	81.620
196	1.95000	81.523
197	1.96000	81.433
198	1.97000	81.361
199	1.98000	81.278
200	1.99000	81.174
201	2.00000	81.105
202	2.01000	81.044
203	2.02000	80.977
204	2.03000	80.936
205	2.04000	80.885
206	2.05000	80.841
207	2.06000	80.809
208	2.07000	80.782
209	2.08000	80.763
210	2.09000	80.750
211	2.10000	80.728
212	2.11000	80.715
213	2.12000	80.707
214	2.13000	80.703
215	2.14000	80.709
216	2.15000	80.719
217	2.16000	80.731
218	2.17000	80.759
219	2.18000	80.770
220	2.19000	80.795
221	2.20000	80.815
222	2.21000	80.838
223	2.22000	80.860
224	2.23000	80.885
225	2.24000	80.918
226	2.25000	80.946
227	2.26000	80.977
228	2.27000	81.006
229	2.28000	81.032
230	2.29000	81.056
231	2.30000	81.082
232	2.31000	81.100
233	2.32000	81.124
234	2.33000	81.138
235	2.34000	81.151
236	2.35000	81.168
237	2.36000	81.189
238	2.37000	81.203
239	2.38000	81.223
240	2.39000	81.243
241	2.40000	81.295
242	2.41000	81.320
243	2.42000	81.335
244	2.43000	81.347
245	2.44000	81.365
246	2.45000	81.384
247	2.46000	81.399
248	2.47000	81.418
249	2.48000	81.442
250	2.49000	81.461
251	2.50000	81.486
252	2.51000	81.507
253	2.52000	81.536
254	2.53000	81.566
255	2.54000	81.614
256	2.55000	81.661
257	2.56000	81.726
258	2.57000	81.786
